iter	Passed	Remaining
0	0	98
1	1	89
2	2	83
3	3	77
4	4	76
5	4	76
6	5	77
7	6	76
8	7	76
9	8	75
10	9	75
11	10	74
12	11	74
13	12	74
14	13	74
15	14	73
16	15	73
17	15	72
18	16	71
19	17	71
20	18	70
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	66
27	25	65
28	26	65
29	27	64
30	28	63
31	29	62
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	37	55
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	39
58	54	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	30
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
